"movieid","title","released_year","title_released_year","genres"
73042,"Alvin and the Chipmunks: The Squeakquel",2009,"Alvin and the Chipmunks: The Squeakquel (2009)","Children"
73042,"Alvin and the Chipmunks: The Squeakquel",2009,"Alvin and the Chipmunks: The Squeakquel (2009)","Comedy"
73042,"Alvin and the Chipmunks: The Squeakquel",2009,"Alvin and the Chipmunks: The Squeakquel (2009)","Musical"
4564,"Always",1989,"Always (1989)","Drama"
4564,"Always",1989,"Always (1989)","Fantasy"
4564,"Always",1989,"Always (1989)","Romance"
140016,"Always Watching: A Marble Hornets Story",2015,"Always Watching: A Marble Hornets Story (2015)","Horror"
1225,"Amadeus",1984,"Amadeus (1984)","Drama"
2969,"A Man and a Woman (Un homme et une femme)",1966,"A Man and a Woman (Un homme et une femme) (1966)","Drama"
2969,"A Man and a Woman (Un homme et une femme)",1966,"A Man and a Woman (Un homme et une femme) (1966)","Romance"
6280,"A Man Apart",2003,"A Man Apart (2003)","Action"
6280,"A Man Apart",2003,"A Man Apart (2003)","Crime"
6280,"A Man Apart",2003,"A Man Apart (2003)","Drama"
6280,"A Man Apart",2003,"A Man Apart (2003)","Thriller"
119828,"A Man Called Blade",1977,"A Man Called Blade (1977)","Action"
119828,"A Man Called Blade",1977,"A Man Called Blade (1977)","Drama"
119828,"A Man Called Blade",1977,"A Man Called Blade (1977)","Thriller"
119828,"A Man Called Blade",1977,"A Man Called Blade (1977)","Western"
164540,"Amanda Knox",2016,"Amanda Knox (2016)","Documentary"
8684,"A Man Escaped (Un  condamné à mort s'est échappé ou Le vent souffle où il veut)",1956,"A Man Escaped (Un  condamné à mort s'est échappé ou Le vent souffle où il veut) (1956)","Adventure"
8684,"A Man Escaped (Un  condamné à mort s'est échappé ou Le vent souffle où il veut)",1956,"A Man Escaped (Un  condamné à mort s'est échappé ou Le vent souffle où il veut) (1956)","Drama"
1949,"A Man for All Seasons",1966,"A Man for All Seasons (1966)","Drama"
146024,"A Man from Boulevard des Capucines",1987,"A Man from Boulevard des Capucines (1987)","Comedy"
146024,"A Man from Boulevard des Capucines",1987,"A Man from Boulevard des Capucines (1987)","Romance"
146024,"A Man from Boulevard des Capucines",1987,"A Man from Boulevard des Capucines (1987)","Western"
385,"A Man of No Importance",1994,"A Man of No Importance (1994)","Drama"
80478,"A Man Vanishes (Ningen Johatsu)",1967,"A Man Vanishes (Ningen Johatsu) (1967)","Documentary"
80478,"A Man Vanishes (Ningen Johatsu)",1967,"A Man Vanishes (Ningen Johatsu) (1967)","Drama"
80478,"A Man Vanishes (Ningen Johatsu)",1967,"A Man Vanishes (Ningen Johatsu) (1967)","Mystery"
7089,"Amarcord",1973,"Amarcord (1973)","Comedy"
7089,"Amarcord",1973,"Amarcord (1973)","Drama"
149,"Amateur",1994,"Amateur (1994)","Crime"
149,"Amateur",1994,"Amateur (1994)","Drama"
149,"Amateur",1994,"Amateur (1994)","Thriller"
51471,"Amazing Grace",2006,"Amazing Grace (2006)","Drama"
51471,"Amazing Grace",2006,"Amazing Grace (2006)","Romance"
4078,"Amazing Grace and Chuck",1987,"Amazing Grace and Chuck (1987)","Drama"
4079,"Amazon Women on the Moon",1987,"Amazon Women on the Moon (1987)","Comedy"
4079,"Amazon Women on the Moon",1987,"Amazon Women on the Moon (1987)","Sci-Fi"
4973,"Amelie (Fabuleux destin d'Amélie Poulain, Le)",2001,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)","Comedy"
4973,"Amelie (Fabuleux destin d'Amélie Poulain, Le)",2001,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)","Romance"
6041,"Amen.",2002,"Amen. (2002)","Drama"
83601,"Amer",2009,"Amer (2009)","Drama"
83601,"Amer",2009,"Amer (2009)","Horror"
2858,"American Beauty",1999,"American Beauty (1999)","Drama"
2858,"American Beauty",1999,"American Beauty (1999)","Romance"
806,"American Buffalo",1996,"American Buffalo (1996)","Crime"
806,"American Buffalo",1996,"American Buffalo (1996)","Drama"
45106,"American Dreamz",2006,"American Dreamz (2006)","Comedy"
45106,"American Dreamz",2006,"American Dreamz (2006)","Drama"
76751,"American Drug War: The Last White Hope",2007,"American Drug War: The Last White Hope (2007)","Crime"
76751,"American Drug War: The Last White Hope",2007,"American Drug War: The Last White Hope (2007)","Documentary"
169180,"American Fable",2017,"American Fable (2017)","Thriller"
3214,"American Flyers",1985,"American Flyers (1985)","Drama"
55765,"American Gangster",2007,"American Gangster (2007)","Crime"
55765,"American Gangster",2007,"American Gangster (2007)","Drama"
55765,"American Gangster",2007,"American Gangster (2007)","Thriller"
3649,"American Gigolo",1980,"American Gigolo (1980)","Drama"
3363,"American Graffiti",1973,"American Graffiti (1973)","Comedy"
3363,"American Graffiti",1973,"American Graffiti (1973)","Drama"
87287,"American Grindhouse",2010,"American Grindhouse (2010)","Documentary"
52299,"American Hardcore",2006,"American Hardcore (2006)","Documentary"
126420,"American Heist",2015,"American Heist (2015)","Action"
2329,"American History X",1998,"American History X (1998)","Crime"
2329,"American History X",1998,"American History X (1998)","Drama"
106916,"American Hustle",2013,"American Hustle (2013)","Crime"
106916,"American Hustle",2013,"American Hustle (2013)","Drama"
176751,"American Made",2017,"American Made (2017)","Crime"
176751,"American Made",2017,"American Made (2017)","Thriller"
6022,"American Me",1992,"American Me (1992)","Drama"
3007,"American Movie",1999,"American Movie (1999)","Documentary"
4565,"American Ninja",1985,"American Ninja (1985)","Action"
4565,"American Ninja",1985,"American Ninja (1985)","Adventure"
4721,"American Outlaws",2001,"American Outlaws (2001)","Action"
4721,"American Outlaws",2001,"American Outlaws (2001)","Comedy"
4721,"American Outlaws",2001,"American Outlaws (2001)","Western"
2706,"American Pie",1999,"American Pie (1999)","Comedy"
2706,"American Pie",1999,"American Pie (1999)","Romance"
4718,"American Pie 2",2001,"American Pie 2 (2001)","Comedy"
39715,"American Pie Presents: Band Camp (American Pie 4: Band Camp)",2005,"American Pie Presents: Band Camp (American Pie 4: Band Camp) (2005)","Comedy"
59429,"American Pie Presents Beta House (American Pie 6: Beta House)",2007,"American Pie Presents Beta House (American Pie 6: Beta House) (2007)","Comedy"
73106,"American Pie Presents: The Book of Love (American Pie 7: The Book of Love)",2009,"American Pie Presents: The Book of Love (American Pie 7: The Book of Love) (2009)","Comedy"
50189,"American Pie Presents The Naked Mile (American Pie 5: The Naked Mile)",2006,"American Pie Presents The Naked Mile (American Pie 5: The Naked Mile) (2006)","Comedy"
50189,"American Pie Presents The Naked Mile (American Pie 5: The Naked Mile)",2006,"American Pie Presents The Naked Mile (American Pie 5: The Naked Mile) (2006)","Romance"
3725,"American Pop",1981,"American Pop (1981)","Animation"
3725,"American Pop",1981,"American Pop (1981)","Musical"
3535,"American Psycho",2000,"American Psycho (2000)","Crime"
3535,"American Psycho",2000,"American Psycho (2000)","Horror"
3535,"American Psycho",2000,"American Psycho (2000)","Mystery"
3535,"American Psycho",2000,"American Psycho (2000)","Thriller"
27473,"American Psycho II: All American Girl",2002,"American Psycho II: All American Girl (2002)","Comedy"
27473,"American Psycho II: All American Girl",2002,"American Psycho II: All American Girl (2002)","Crime"
27473,"American Psycho II: All American Girl",2002,"American Psycho II: All American Girl (2002)","Horror"
27473,"American Psycho II: All American Girl",2002,"American Psycho II: All American Girl (2002)","Mystery"
27473,"American Psycho II: All American Girl",2002,"American Psycho II: All American Girl (2002)","Thriller"
93831,"American Reunion (American Pie 4)",2012,"American Reunion (American Pie 4) (2012)","Comedy"
114662,"American Sniper",2014,"American Sniper (2014)","Action"
114662,"American Sniper",2014,"American Sniper (2014)","War"
6620,"American Splendor",2003,"American Splendor (2003)","Comedy"
6620,"American Splendor",2003,"American Splendor (2003)","Drama"
86290,"American: The Bill Hicks Story",2009,"American: The Bill Hicks Story (2009)","Comedy"
86290,"American: The Bill Hicks Story",2009,"American: The Bill Hicks Story (2009)","Documentary"
140711,"American Ultra",2015,"American Ultra (2015)","Action"
140711,"American Ultra",2015,"American Ultra (2015)","Comedy"
140711,"American Ultra",2015,"American Ultra (2015)","Sci-Fi"
140711,"American Ultra",2015,"American Ultra (2015)","Thriller"
6586,"American Wedding (American Pie 3)",2003,"American Wedding (American Pie 3) (2003)","Comedy"
4639,"America's Sweethearts",2001,"America's Sweethearts (2001)","Comedy"
4639,"America's Sweethearts",2001,"America's Sweethearts (2001)","Romance"
8427,"Americathon",1979,"Americathon (1979)","Comedy"
8427,"Americathon",1979,"Americathon (1979)","Sci-Fi"
119964,"A Merry Friggin' Christmas",2014,"A Merry Friggin' Christmas (2014)","Comedy"
7025,"A Midnight Clear",1992,"A Midnight Clear (1992)","Drama"
7025,"A Midnight Clear",1992,"A Midnight Clear (1992)","War"
7057,"A Midsummer Night's Dream",1935,"A Midsummer Night's Dream (1935)","Comedy"
7057,"A Midsummer Night's Dream",1935,"A Midsummer Night's Dream (1935)","Fantasy"
7057,"A Midsummer Night's Dream",1935,"A Midsummer Night's Dream (1935)","Romance"
6100,"A Midsummer Night's Sex Comedy",1982,"A Midsummer Night's Sex Comedy (1982)","Comedy"
6100,"A Midsummer Night's Sex Comedy",1982,"A Midsummer Night's Sex Comedy (1982)","Romance"
53921,"A Mighty Heart",2007,"A Mighty Heart (2007)","Drama"
53921,"A Mighty Heart",2007,"A Mighty Heart (2007)","Thriller"
6296,"A Mighty Wind",2003,"A Mighty Wind (2003)","Comedy"
6296,"A Mighty Wind",2003,"A Mighty Wind (2003)","Musical"
111743,"A Million Ways to Die in the West",2014,"A Million Ways to Die in the West (2014)","Comedy"
111743,"A Million Ways to Die in the West",2014,"A Million Ways to Die in the West (2014)","Western"
1693,"Amistad",1997,"Amistad (1997)","Drama"
1693,"Amistad",1997,"Amistad (1997)","Mystery"
1322,"Amityville 1992: It's About Time",1992,"Amityville 1992: It's About Time (1992)","Horror"
1323,"Amityville 3-D",1983,"Amityville 3-D (1983)","Horror"
1325,"Amityville: A New Generation",1993,"Amityville: A New Generation (1993)","Horror"
1324,"Amityville: Dollhouse",1996,"Amityville: Dollhouse (1996)","Horror"
1326,"Amityville II: The Possession",1982,"Amityville II: The Possession (1982)","Horror"
4235,"Amores Perros (Love's a Bitch)",2000,"Amores Perros (Love's a Bitch) (2000)","Drama"
4235,"Amores Perros (Love's a Bitch)",2000,"Amores Perros (Love's a Bitch) (2000)","Thriller"
1440,"Amos & Andrew",1993,"Amos & Andrew (1993)","Comedy"
112940,"A Most Wanted Man",2014,"A Most Wanted Man (2014)","Thriller"
107449,"A Muppet Christmas: Letters to Santa",2008,"A Muppet Christmas: Letters to Santa (2008)","Children"
107449,"A Muppet Christmas: Letters to Santa",2008,"A Muppet Christmas: Letters to Santa (2008)","Comedy"
137337,"Amy",2015,"Amy (2015)","Documentary"
5532,"Amy's O (a.k.a. Amy's Orgasm)",2001,"Amy's O (a.k.a. Amy's Orgasm) (2001)","Comedy"
5532,"Amy's O (a.k.a. Amy's Orgasm)",2001,"Amy's O (a.k.a. Amy's Orgasm) (2001)","Romance"
150993,"Anacleto: Agente secreto",2015,"Anacleto: Agente secreto (2015)","Action"
150993,"Anacleto: Agente secreto",2015,"Anacleto: Agente secreto (2015)","Comedy"
1499,"Anaconda",1997,"Anaconda (1997)","Action"
1499,"Anaconda",1997,"Anaconda (1997)","Adventure"
1499,"Anaconda",1997,"Anaconda (1997)","Thriller"
8830,"Anacondas: The Hunt for the Blood Orchid",2004,"Anacondas: The Hunt for the Blood Orchid (2004)","Adventure"
8830,"Anacondas: The Hunt for the Blood Orchid",2004,"Anacondas: The Hunt for the Blood Orchid (2004)","Drama"
8830,"Anacondas: The Hunt for the Blood Orchid",2004,"Anacondas: The Hunt for the Blood Orchid (2004)","Horror"
8830,"Anacondas: The Hunt for the Blood Orchid",2004,"Anacondas: The Hunt for the Blood Orchid (2004)","Sci-Fi"
8830,"Anacondas: The Hunt for the Blood Orchid",2004,"Anacondas: The Hunt for the Blood Orchid (2004)","Thriller"
95796,"Anaconda: The Offspring",2008,"Anaconda: The Offspring (2008)","Action"
95796,"Anaconda: The Offspring",2008,"Anaconda: The Offspring (2008)","Horror"
95796,"Anaconda: The Offspring",2008,"Anaconda: The Offspring (2008)","Sci-Fi"
95796,"Anaconda: The Offspring",2008,"Anaconda: The Offspring (2008)","Thriller"
932,"An Affair to Remember",1957,"An Affair to Remember (1957)","Drama"
932,"An Affair to Remember",1957,"An Affair to Remember (1957)","Romance"
105540,"An All Dogs Christmas Carol",1998,"An All Dogs Christmas Carol (1998)","Animation"
105540,"An All Dogs Christmas Carol",1998,"An All Dogs Christmas Carol (1998)","Children"
105540,"An All Dogs Christmas Carol",1998,"An All Dogs Christmas Carol (1998)","Comedy"
105540,"An All Dogs Christmas Carol",1998,"An All Dogs Christmas Carol (1998)","Musical"
5900,"Analyze That",2002,"Analyze That (2002)","Comedy"
5900,"Analyze That",2002,"Analyze That (2002)","Crime"
2539,"Analyze This",1999,"Analyze This (1999)","Comedy"
7264,"An Amazing Couple",2002,"An Amazing Couple (2002)","Comedy"
7264,"An Amazing Couple",2002,"An Amazing Couple (2002)","Romance"
62586,"An American Carol",2008,"An American Carol (2008)","Comedy"
62586,"An American Carol",2008,"An American Carol (2008)","Fantasy"
45361,"An American Haunting",2005,"An American Haunting (2005)","Drama"
45361,"An American Haunting",2005,"An American Haunting (2005)","Horror"
45361,"An American Haunting",2005,"An American Haunting (2005)","Mystery"
45361,"An American Haunting",2005,"An American Haunting (2005)","Thriller"
900,"An American in Paris",1951,"An American in Paris (1951)","Musical"
900,"An American in Paris",1951,"An American in Paris (1951)","Romance"
2141,"An American Tail",1986,"An American Tail (1986)","Adventure"
2141,"An American Tail",1986,"An American Tail (1986)","Animation"
2141,"An American Tail",1986,"An American Tail (1986)","Children"
2141,"An American Tail",1986,"An American Tail (1986)","Comedy"
2142,"An American Tail: Fievel Goes West",1991,"An American Tail: Fievel Goes West (1991)","Adventure"
2142,"An American Tail: Fievel Goes West",1991,"An American Tail: Fievel Goes West (1991)","Animation"
2142,"An American Tail: Fievel Goes West",1991,"An American Tail: Fievel Goes West (1991)","Children"
2142,"An American Tail: Fievel Goes West",1991,"An American Tail: Fievel Goes West (1991)","Musical"
2142,"An American Tail: Fievel Goes West",1991,"An American Tail: Fievel Goes West (1991)","Western"
1321,"An American Werewolf in London",1981,"An American Werewolf in London (1981)","Comedy"
1321,"An American Werewolf in London",1981,"An American Werewolf in London (1981)","Horror"
1321,"An American Werewolf in London",1981,"An American Werewolf in London (1981)","Thriller"
2793,"An American Werewolf in Paris",1997,"An American Werewolf in Paris (1997)","Comedy"
2793,"An American Werewolf in Paris",1997,"An American Werewolf in Paris (1997)","Horror"
2793,"An American Werewolf in Paris",1997,"An American Werewolf in Paris (1997)","Romance"
2793,"An American Werewolf in Paris",1997,"An American Werewolf in Paris (1997)","Thriller"
6671,"An Angel at My Table",1990,"An Angel at My Table (1990)","Drama"
1688,"Anastasia",1997,"Anastasia (1997)","Adventure"
1688,"Anastasia",1997,"Anastasia (1997)","Animation"
1688,"Anastasia",1997,"Anastasia (1997)","Children"
1688,"Anastasia",1997,"Anastasia (1997)","Drama"
1688,"Anastasia",1997,"Anastasia (1997)","Musical"
6516,"Anastasia",1956,"Anastasia (1956)","Drama"
3801,"Anatomy of a Murder",1959,"Anatomy of a Murder (1959)","Drama"
3801,"Anatomy of a Murder",1959,"Anatomy of a Murder (1959)","Mystery"
148,"An Awfully Big Adventure",1995,"An Awfully Big Adventure (1995)","Drama"
107348,"Anchorman 2: The Legend Continues",2013,"Anchorman 2: The Legend Continues (2013)","Comedy"
8641,"Anchorman: The Legend of Ron Burgundy",2004,"Anchorman: The Legend of Ron Burgundy (2004)","Comedy"
3599,"Anchors Aweigh",1945,"Anchors Aweigh (1945)","Comedy"
3599,"Anchors Aweigh",1945,"Anchors Aweigh (1945)","Musical"
25771,"Andalusian Dog, An (Chien andalou, Un)",1929,"Andalusian Dog, An (Chien andalou, Un) (1929)","Fantasy"
3845,"And God Created Woman (Et Dieu... créa la femme)",1956,"And God Created Woman (Et Dieu... créa la femme) (1956)","Drama"
3420,"...And Justice for All",1979,"...And Justice for All (1979)","Drama"
3420,"...And Justice for All",1979,"...And Justice for All (1979)","Thriller"
6588,"And Now... Ladies and Gentlemen...",2002,"And Now... Ladies and Gentlemen... (2002)","Romance"
6588,"And Now... Ladies and Gentlemen...",2002,"And Now... Ladies and Gentlemen... (2002)","Thriller"
577,"Andre",1994,"Andre (1994)","Adventure"
577,"Andre",1994,"Andre (1994)","Children"
577,"Andre",1994,"Andre (1994)","Drama"
26150,"Andrei Rublev (Andrey Rublyov)",1969,"Andrei Rublev (Andrey Rublyov) (1969)","Drama"
26150,"Andrei Rublev (Andrey Rublyov)",1969,"Andrei Rublev (Andrey Rublyov) (1969)","War"
193609,"Andrew Dice Clay: Dice Rules",1991,"Andrew Dice Clay: Dice Rules (1991)","Comedy"
5919,"Android",1982,"Android (1982)","Sci-Fi"
112749,"And So It Goes",2014,"And So It Goes (2014)","Comedy"
112749,"And So It Goes",2014,"And So It Goes (2014)","Drama"
112749,"And So It Goes",2014,"And So It Goes (2014)","Romance"
27692,"And Starring Pancho Villa as Himself",2003,"And Starring Pancho Villa as Himself (2003)","Action"
27692,"And Starring Pancho Villa as Himself",2003,"And Starring Pancho Villa as Himself (2003)","Comedy"
27692,"And Starring Pancho Villa as Himself",2003,"And Starring Pancho Villa as Himself (2003)","Drama"
27692,"And Starring Pancho Villa as Himself",2003,"And Starring Pancho Villa as Himself (2003)","War"
2071,"And the Band Played On",1993,"And the Band Played On (1993)","Drama"
4969,"And Then There Were None",1945,"And Then There Were None (1945)","Crime"
4969,"And Then There Were None",1945,"And Then There Were None (1945)","Mystery"
2897,"And the Ship Sails On (E la nave va)",1983,"And the Ship Sails On (E la nave va) (1983)","Comedy"
2897,"And the Ship Sails On (E la nave va)",1983,"And the Ship Sails On (E la nave va) (1983)","War"
5225,"And Your Mother Too (Y tu mamá también)",2001,"And Your Mother Too (Y tu mamá también) (2001)","Drama"
5225,"And Your Mother Too (Y tu mamá también)",2001,"And Your Mother Too (Y tu mamá también) (2001)","Romance"
71579,"An Education",2009,"An Education (2009)","Drama"
71579,"An Education",2009,"An Education (2009)","Romance"
56012,"An Evening with Kevin Smith 2: Evening Harder",2006,"An Evening with Kevin Smith 2: Evening Harder (2006)","Comedy"
56012,"An Evening with Kevin Smith 2: Evening Harder",2006,"An Evening with Kevin Smith 2: Evening Harder (2006)","Documentary"
4032,"An Everlasting Piece",2000,"An Everlasting Piece (2000)","Comedy"
4946,"An Eye for an Eye",1981,"An Eye for an Eye (1981)","Action"
4946,"An Eye for an Eye",1981,"An Eye for an Eye (1981)","Crime"
4946,"An Eye for an Eye",1981,"An Eye for an Eye (1981)","Thriller"
47725,"Angel-A",2005,"Angel-A (2005)","Comedy"
47725,"Angel-A",2005,"Angel-A (2005)","Drama"
47725,"Angel-A",2005,"Angel-A (2005)","Fantasy"
47725,"Angel-A",2005,"Angel-A (2005)","Romance"
3179,"Angela's Ashes",1999,"Angela's Ashes (1999)","Drama"
1428,"Angel Baby",1995,"Angel Baby (1995)","Drama"
4305,"Angel Eyes",2001,"Angel Eyes (2001)","Romance"
4305,"Angel Eyes",2001,"Angel Eyes (2001)","Thriller"
3706,"Angel Heart",1987,"Angel Heart (1987)","Film-Noir"
3706,"Angel Heart",1987,"Angel Heart (1987)","Horror"
3706,"Angel Heart",1987,"Angel Heart (1987)","Mystery"
3706,"Angel Heart",1987,"Angel Heart (1987)","Thriller"
85,"Angels and Insects",1995,"Angels and Insects (1995)","Drama"
85,"Angels and Insects",1995,"Angels and Insects (1995)","Romance"
68554,"Angels & Demons",2009,"Angels & Demons (2009)","Crime"
68554,"Angels & Demons",2009,"Angels & Demons (2009)","Drama"
68554,"Angels & Demons",2009,"Angels & Demons (2009)","Mystery"
68554,"Angels & Demons",2009,"Angels & Demons (2009)","Thriller"
114627,"Angel's Egg (Tenshi no tamago)",1985,"Angel's Egg (Tenshi no tamago) (1985)","Animation"
114627,"Angel's Egg (Tenshi no tamago)",1985,"Angel's Egg (Tenshi no tamago) (1985)","Drama"
114627,"Angel's Egg (Tenshi no tamago)",1985,"Angel's Egg (Tenshi no tamago) (1985)","Fantasy"
1021,"Angels in the Outfield",1994,"Angels in the Outfield (1994)","Children"
1021,"Angels in the Outfield",1994,"Angels in the Outfield (1994)","Comedy"
8600,"Angels with Dirty Faces",1938,"Angels with Dirty Faces (1938)","Crime"
8600,"Angels with Dirty Faces",1938,"Angels with Dirty Faces (1938)","Drama"
8600,"Angels with Dirty Faces",1938,"Angels with Dirty Faces (1938)","Film-Noir"
8600,"Angels with Dirty Faces",1938,"Angels with Dirty Faces (1938)","Thriller"
6287,"Anger Management",2003,"Anger Management (2003)","Comedy"
6788,"Angie",1994,"Angie (1994)","Comedy"
6788,"Angie",1994,"Angie (1994)","Drama"
6788,"Angie",1994,"Angie (1994)","Romance"
100306,"Angst ",1983,"Angst  (1983)","Drama"
100306,"Angst ",1983,"Angst  (1983)","Horror"
700,"Angus",1995,"Angus (1995)","Comedy"
62718,"Angus, Thongs and Perfect Snogging",2008,"Angus, Thongs and Perfect Snogging (2008)","Comedy"
62718,"Angus, Thongs and Perfect Snogging",2008,"Angus, Thongs and Perfect Snogging (2008)","Romance"
110669,"An Honest Liar",2014,"An Honest Liar (2014)","Comedy"
110669,"An Honest Liar",2014,"An Honest Liar (2014)","Documentary"
2690,"An Ideal Husband",1999,"An Ideal Husband (1999)","Comedy"
2690,"An Ideal Husband",1999,"An Ideal Husband (1999)","Romance"
7132,"A Night at the Opera",1935,"A Night at the Opera (1935)","Comedy"
7132,"A Night at the Opera",1935,"A Night at the Opera (1935)","Musical"
7132,"A Night at the Opera",1935,"A Night at the Opera (1935)","Romance"
2296,"A Night at the Roxbury",1998,"A Night at the Roxbury (1998)","Comedy"
4527,"A Night in the Life of Jimmy Reardon",1988,"A Night in the Life of Jimmy Reardon (1988)","Comedy"
4527,"A Night in the Life of Jimmy Reardon",1988,"A Night in the Life of Jimmy Reardon (1988)","Romance"
1347,"A Nightmare on Elm Street",1984,"A Nightmare on Elm Street (1984)","Horror"
1347,"A Nightmare on Elm Street",1984,"A Nightmare on Elm Street (1984)","Thriller"
77798,"A Nightmare on Elm Street",2010,"A Nightmare on Elm Street (2010)","Fantasy"
77798,"A Nightmare on Elm Street",2010,"A Nightmare on Elm Street (2010)","Horror"
77798,"A Nightmare on Elm Street",2010,"A Nightmare on Elm Street (2010)","Thriller"
1969,"A Nightmare on Elm Street 2: Freddy's Revenge",1985,"A Nightmare on Elm Street 2: Freddy's Revenge (1985)","Horror"
1970,"A Nightmare on Elm Street 3: Dream Warriors",1987,"A Nightmare on Elm Street 3: Dream Warriors (1987)","Horror"
1970,"A Nightmare on Elm Street 3: Dream Warriors",1987,"A Nightmare on Elm Street 3: Dream Warriors (1987)","Thriller"
1971,"A Nightmare on Elm Street 4: The Dream Master",1988,"A Nightmare on Elm Street 4: The Dream Master (1988)","Horror"
1971,"A Nightmare on Elm Street 4: The Dream Master",1988,"A Nightmare on Elm Street 4: The Dream Master (1988)","Thriller"
1972,"A Nightmare on Elm Street 5: The Dream Child",1989,"A Nightmare on Elm Street 5: The Dream Child (1989)","Horror"
3405,"A Night to Remember",1958,"A Night to Remember (1958)","Action"
3405,"A Night to Remember",1958,"A Night to Remember (1958)","Drama"
7706,"Animal Crackers",1930,"Animal Crackers (1930)","Comedy"
7706,"Animal Crackers",1930,"Animal Crackers (1930)","Musical"
8495,"Animal Factory",2000,"Animal Factory (2000)","Crime"
8495,"Animal Factory",2000,"Animal Factory (2000)","Drama"
35347,"Animal Farm",1954,"Animal Farm (1954)","Animation"
35347,"Animal Farm",1954,"Animal Farm (1954)","Drama"
3421,"Animal House",1978,"Animal House (1978)","Comedy"
6408,"Animals are Beautiful People",1974,"Animals are Beautiful People (1974)","Comedy"
6408,"Animals are Beautiful People",1974,"Animals are Beautiful People (1974)","Documentary"
45950,"An Inconvenient Truth",2006,"An Inconvenient Truth (2006)","Documentary"
4608,"An Innocent Man",1989,"An Innocent Man (1989)","Crime"
4608,"An Innocent Man",1989,"An Innocent Man (1989)","Drama"
3155,"Anna and the King",1999,"Anna and the King (1999)","Drama"
3155,"Anna and the King",1999,"Anna and the King (1999)","Romance"
114713,"Annabelle",2014,"Annabelle (2014)","Horror"
175199,"Annabelle: Creation",2017,"Annabelle: Creation (2017)","Horror"
8518,"Anna Christie",1930,"Anna Christie (1930)","Drama"
1496,"Anna Karenina",1997,"Anna Karenina (1997)","Drama"
1496,"Anna Karenina",1997,"Anna Karenina (1997)","Romance"
7092,"Anna Karenina",1935,"Anna Karenina (1935)","Drama"
7092,"Anna Karenina",1935,"Anna Karenina (1935)","Romance"
97936,"Anna Karenina",2012,"Anna Karenina (2012)","Drama"
43556,"Annapolis",2006,"Annapolis (2006)","Drama"
116,"Anne Frank Remembered",1995,"Anne Frank Remembered (1995)","Documentary"
26528,"Anne of Green Gables",1985,"Anne of Green Gables (1985)","Children"
26528,"Anne of Green Gables",1985,"Anne of Green Gables (1985)","Drama"
74282,"Anne of Green Gables: The Sequel (a.k.a. Anne of Avonlea)",1987,"Anne of Green Gables: The Sequel (a.k.a. Anne of Avonlea) (1987)","Children"
74282,"Anne of Green Gables: The Sequel (a.k.a. Anne of Avonlea)",1987,"Anne of Green Gables: The Sequel (a.k.a. Anne of Avonlea) (1987)","Drama"
74282,"Anne of Green Gables: The Sequel (a.k.a. Anne of Avonlea)",1987,"Anne of Green Gables: The Sequel (a.k.a. Anne of Avonlea) (1987)","Romance"
8191,"Anne of the Thousand Days",1969,"Anne of the Thousand Days (1969)","Drama"
4039,"Annie",1982,"Annie (1982)","Children"
4039,"Annie",1982,"Annie (1982)","Musical"
25959,"Annie Get Your Gun",1950,"Annie Get Your Gun (1950)","Comedy"
25959,"Annie Get Your Gun",1950,"Annie Get Your Gun (1950)","Musical"
25959,"Annie Get Your Gun",1950,"Annie Get Your Gun (1950)","Romance"
25959,"Annie Get Your Gun",1950,"Annie Get Your Gun (1950)","Western"
1230,"Annie Hall",1977,"Annie Hall (1977)","Comedy"
1230,"Annie Hall",1977,"Annie Hall (1977)","Romance"
182715,"Annihilation",2018,"Annihilation (2018)","Adventure"
182715,"Annihilation",2018,"Annihilation (2018)","Mystery"
182715,"Annihilation",2018,"Annihilation (2018)","Sci-Fi"
182715,"Annihilation",2018,"Annihilation (2018)","Thriller"
4041,"An Officer and a Gentleman",1982,"An Officer and a Gentleman (1982)","Drama"
4041,"An Officer and a Gentleman",1982,"An Officer and a Gentleman (1982)","Romance"
193567,"anohana: The Flower We Saw That Day - The Movie",2013,"anohana: The Flower We Saw That Day - The Movie (2013)","Animation"
193567,"anohana: The Flower We Saw That Day - The Movie",2013,"anohana: The Flower We Saw That Day - The Movie (2013)","Drama"
139855,"Anomalisa",2015,"Anomalisa (2015)","Animation"
139855,"Anomalisa",2015,"Anomalisa (2015)","Comedy"
139855,"Anomalisa",2015,"Anomalisa (2015)","Fantasy"
5027,"Another 48 Hrs.",1990,"Another 48 Hrs. (1990)","Action"
5027,"Another 48 Hrs.",1990,"Another 48 Hrs. (1990)","Comedy"
5027,"Another 48 Hrs.",1990,"Another 48 Hrs. (1990)","Crime"
5027,"Another 48 Hrs.",1990,"Another 48 Hrs. (1990)","Drama"
5027,"Another 48 Hrs.",1990,"Another 48 Hrs. (1990)","Thriller"
91266,"Another Cinderella Story",2008,"Another Cinderella Story (2008)","Children"
91266,"Another Cinderella Story",2008,"Another Cinderella Story (2008)","Comedy"
91266,"Another Cinderella Story",2008,"Another Cinderella Story (2008)","Musical"
91266,"Another Cinderella Story",2008,"Another Cinderella Story (2008)","Romance"
89039,"Another Earth",2011,"Another Earth (2011)","Drama"
